,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Normal.Kerat,Pericyte,PlasmaCell
cosmx_bcc_xdonor_spot_0000066116,0.9746059437393189,0.00707188428489624,5.546747479422777e-11,0.00031714775556656433,1.945377691307474e-15,1.945377691307474e-15,0.012776261157084402,0.00522876300766255
cosmx_bcc_xdonor_spot_0000066117,0.9450200648551859,0.039090776166831154,1.1219265372115503e-09,1.0333303810267864e-10,2.7481812381061426e-08,1.909510089447629e-15,0.012121258772850398,0.0037678714980588324
cosmx_bcc_xdonor_spot_0000066118,0.8830998441662834,0.04093847822605312,0.002876553488389882,0.0008530668920064434,0.05092146488587814,0.008592657429119912,1.9004015979354255e-08,0.012717915908253106
cosmx_bcc_xdonor_spot_0000066119,0.899808304531806,0.09355085270628338,0.00011707603193811731,9.315723925159196e-06,6.45424985181977e-07,0.0006696513502336888,0.0002012107591766758,0.005642943471651722
cosmx_bcc_xdonor_spot_0000066120,0.23888953266943508,0.4189694422470401,0.14233779382220987,8.2659476481808e-10,0.15002170760175287,1.7059398212083607e-14,0.04978152283294802,2.2178328307730414e-15
cosmx_bcc_xdonor_spot_0000066121,0.0006234172756989755,0.4889556489394843,0.26687101982403527,0.02468948943454267,0.10366182309417402,4.6645606038869686e-12,0.11519860142739836,2.0013877856558585e-15
cosmx_bcc_xdonor_spot_0000066122,1.5438916468290674e-07,0.10576930481858282,0.2066486390415997,0.0003951490325699633,0.6871867510663084,2.067047060601389e-15,1.6517702981745702e-09,2.067047060601389e-15
cosmx_bcc_xdonor_spot_0000066123,0.00036280259955343003,0.08102238682906435,0.4491036248691014,2.035386797408837e-06,0.46950914910777014,2.0634117828842717e-15,1.2077091627834077e-09,2.0634117828842717e-15
cosmx_bcc_xdonor_spot_0000066124,4.696389338154294e-05,0.2585750679264037,0.2442677049581443,4.7678160307563e-09,0.49472080520912304,0.0023730003544362287,1.645289069317862e-05,1.9593356430509878e-15
cosmx_bcc_xdonor_spot_0000066125,1.8383795725387052e-15,0.28676746951273957,0.43999703475442825,1.8383795725387052e-15,0.2606061799399424,1.8383795725387052e-15,0.012629315792882418,1.8383795725387052e-15
cosmx_bcc_xdonor_spot_0000066126,1.8789977579261367e-15,0.09410693108860663,0.48959978733833737,1.8789977579261367e-15,0.04950361034617258,0.0002446600063730276,0.3665450112205047,1.8789977579261367e-15
